"""time""","""serial""","number_of_people"
2019-08-01 16:00:00,"00000000fdda10fe",34
2019-08-01 16:00:00,"00000000fffb8cf0",26
2019-08-01 17:00:00,"0000000006dd41f6",8
2019-08-01 17:00:00,"000000000f4919c9",4
2019-08-01 17:00:00,"0000000019fb59c4",12
2019-08-01 17:00:00,"00000000342570c2",8
2019-08-01 17:00:00,"0000000038bf9618",44
2019-08-01 17:00:00,"0000000038d83d41",18
2019-08-01 17:00:00,"000000004ef3150d",15
2019-08-01 17:00:00,"0000000053c6c2be",22
2019-08-01 17:00:00,"00000000675d5200",5
2019-08-01 17:00:00,"000000006b087f40",18
2019-08-01 17:00:00,"000000006b44cce7",91
2019-08-01 17:00:00,"0000000074f765a7",0
2019-08-01 17:00:00,"000000007b5207b6",2
2019-08-01 17:00:00,"0000000096918cfa",1
2019-08-01 17:00:00,"00000000a53ed894",4
2019-08-01 17:00:00,"00000000aa852af1",42
2019-08-01 17:00:00,"00000000afef4555",47
2019-08-01 17:00:00,"00000000b33a8357",0
2019-08-01 17:00:00,"00000000cd16b8ef",0
2019-08-01 17:00:00,"00000000d747f075",25
2019-08-01 17:00:00,"00000000e8a064a4",2
2019-08-01 17:00:00,"00000000f1124bca",1
2019-08-01 17:00:00,"00000000fb7600be",23
2019-08-01 17:00:00,"00000000fdda10fe",33
2019-08-01 17:00:00,"00000000fffb8cf0",20
2019-08-01 18:00:00,"0000000006dd41f6",10
2019-08-01 18:00:00,"000000000f4919c9",2
2019-08-01 18:00:00,"0000000019fb59c4",11
2019-08-01 18:00:00,"00000000342570c2",8
2019-08-01 18:00:00,"0000000038bf9618",32
2019-08-01 18:00:00,"0000000038d83d41",14
2019-08-01 18:00:00,"000000004ef3150d",72
2019-08-01 18:00:00,"0000000053c6c2be",9
2019-08-01 18:00:00,"00000000675d5200",4
2019-08-01 18:00:00,"000000006b087f40",17
2019-08-01 18:00:00,"000000006b44cce7",79
2019-08-01 18:00:00,"0000000074f765a7",0
2019-08-01 18:00:00,"000000007b5207b6",3
2019-08-01 18:00:00,"0000000096918cfa",0
2019-08-01 18:00:00,"00000000a53ed894",5
2019-08-01 18:00:00,"00000000aa852af1",40
2019-08-01 18:00:00,"00000000afef4555",18
2019-08-01 18:00:00,"00000000b33a8357",0
2019-08-01 18:00:00,"00000000cd16b8ef",0
2019-08-01 18:00:00,"00000000d747f075",6
2019-08-01 18:00:00,"00000000e8a064a4",3
2019-08-01 18:00:00,"00000000f1124bca",1
2019-08-01 18:00:00,"00000000fb7600be",19
2019-08-01 18:00:00,"00000000fdda10fe",33
2019-08-01 18:00:00,"00000000fffb8cf0",14
2019-08-01 19:00:00,"0000000006dd41f6",6
2019-08-01 19:00:00,"000000000f4919c9",2
2019-08-01 19:00:00,"0000000019fb59c4",10
2019-08-01 19:00:00,"00000000342570c2",5
2019-08-01 19:00:00,"0000000038bf9618",17
2019-08-01 19:00:00,"0000000038d83d41",21
2019-08-01 19:00:00,"000000004ef3150d",5
2019-08-01 19:00:00,"0000000053c6c2be",5
2019-08-01 19:00:00,"00000000675d5200",4
2019-08-01 19:00:00,"000000006b087f40",15
2019-08-01 19:00:00,"000000006b44cce7",65
2019-08-01 19:00:00,"0000000074f765a7",0
2019-08-01 19:00:00,"000000007b5207b6",3
2019-08-01 19:00:00,"0000000096918cfa",0
2019-08-01 19:00:00,"00000000a53ed894",3
2019-08-01 19:00:00,"00000000aa852af1",28
2019-08-01 19:00:00,"00000000afef4555",13
2019-08-01 19:00:00,"00000000b33a8357",0
2019-08-01 19:00:00,"00000000cd16b8ef",0
2019-08-01 19:00:00,"00000000d747f075",0
2019-08-01 19:00:00,"00000000e8a064a4",2
2019-08-01 19:00:00,"00000000f1124bca",1
2019-08-01 19:00:00,"00000000fb7600be",17
2019-08-01 19:00:00,"00000000fdda10fe",27
2019-08-01 19:00:00,"00000000fffb8cf0",4
2019-08-01 20:00:00,"0000000006dd41f6",5
2019-08-01 20:00:00,"000000000f4919c9",2
2019-08-01 20:00:00,"0000000019fb59c4",10
2019-08-01 20:00:00,"00000000342570c2",4
2019-08-01 20:00:00,"0000000038bf9618",13
2019-08-01 20:00:00,"0000000038d83d41",17
2019-08-01 20:00:00,"000000004ef3150d",4
2019-08-01 20:00:00,"0000000053c6c2be",5
2019-08-01 20:00:00,"00000000675d5200",5
2019-08-01 20:00:00,"000000006b087f40",14
2019-08-01 20:00:00,"000000006b44cce7",43
